Date,Category,Amount,Type
2020-06-21,Health & Fitness,1879.08,Expense
2020-06-22,Other,1962.0,Income
2020-06-22,Travel,86.13,Expense
2020-06-24,Health & Fitness,1459.8,Expense
2020-06-30,Rent,776.54,Expense
2020-06-30,Travel,98.33,Expense
2020-07-02,Entertainment,734.8,Expense
2020-07-03,Other,3071.0,Income
2020-07-04,Rent,1442.31,Expense
2020-07-05,Travel,1337.12,Expense
2020-07-06,Travel,1113.28,Expense
2020-07-06,Other,1925.0,Income
2020-07-08,Travel,818.09,Expense
2020-07-11,Travel,580.96,Expense
2020-07-12,Health & Fitness,935.33,Expense
2020-07-12,Entertainment,1027.24,Expense
2020-07-13,Utilities,1321.11,Expense
2020-07-17,Health & Fitness,195.84,Expense
2020-07-20,Entertainment,1348.86,Expense
2020-07-21,Entertainment,303.23,Expense
2020-07-21,Other,1096.0,Income
2020-07-22,Entertainment,1439.51,Expense
2020-07-22,Shopping,495.53,Expense
2020-07-22,Food & Drink,1786.39,Expense
2020-07-23,Rent,1559.06,Expense
2020-07-24,Salary,329.79,Income
2020-07-28,Rent,918.36,Expense
2020-07-28,Health & Fitness,1900.58,Expense
2020-07-29,Shopping,1662.83,Expense
2020-07-30,Utilities,1489.87,Expense
2020-07-31,Travel,1506.04,Expense
2020-08-01,Travel,1533.97,Expense
2020-08-01,Entertainment,556.45,Expense
2020-08-01,Other,2420.0,Income
2020-08-02,Health & Fitness,1787.12,Expense
2020-08-03,Investment,2394.0,Income
2020-08-04,Utilities,1415.77,Expense
2020-08-04,Other,3210.0,Income
2020-08-04,Shopping,133.91,Expense
2020-08-05,Shopping,1810.63,Expense
2020-08-05,Food & Drink,1714.9,Expense
2020-08-06,Shopping,959.19,Expense
2020-08-08,Travel,1509.42,Expense
2020-08-08,Shopping,1081.06,Expense
2020-08-09,Entertainment,981.58,Expense
2020-08-13,Salary,203.28000000000003,Income
2020-08-14,Shopping,1451.12,Expense
2020-08-16,Utilities,1961.64,Expense
2020-08-17,Shopping,1187.87,Expense
2020-08-18,Rent,1289.07,Expense
2020-08-19,Other,1988.0,Income
2020-08-20,Other,3181.0,Income
2020-08-21,Health & Fitness,681.63,Expense
2020-08-21,Travel,1506.5,Expense
2020-08-22,Travel,1671.47,Expense
2020-08-22,Food & Drink,1999.82,Expense
2020-08-26,Rent,1564.65,Expense
2020-08-27,Food & Drink,1899.73,Expense
2020-08-27,Investment,1748.0,Income
2020-08-29,Salary,4026.66,Income
2020-08-30,Entertainment,935.42,Expense
2020-08-31,Health & Fitness,343.9,Expense
2020-09-01,Rent,1557.81,Expense
2020-09-05,Other,1385.0,Income
2020-09-05,Travel,1155.84,Expense
2020-09-06,Shopping,799.34,Expense
2020-09-07,Rent,1188.27,Expense
2020-09-08,Entertainment,212.78,Expense
2020-09-11,Rent,1594.49,Expense
2020-09-11,Food & Drink,700.94,Expense
2020-09-11,Health & Fitness,147.22,Expense
2020-09-16,Food & Drink,1700.66,Expense
2020-09-17,Rent,872.71,Expense
2020-09-17,Salary,4252.62,Income
2020-09-18,Travel,1235.67,Expense
2020-09-18,Salary,2805.3,Income
2020-09-22,Travel,651.39,Expense
2020-09-22,Rent,565.07,Expense
2020-09-22,Salary,3432.0,Income
2020-09-23,Health & Fitness,67.11,Expense
2020-09-23,Utilities,980.22,Expense
2020-09-25,Travel,687.27,Expense
2020-09-27,Travel,1116.02,Expense
2020-09-27,Entertainment,180.37,Expense
2020-09-27,Salary,3344.3999999999996,Income
2020-09-29,Salary,3886.05,Income
2020-09-30,Food & Drink,195.18,Expense
2020-10-01,Entertainment,619.35,Expense
2020-10-03,Salary,3334.2300000000005,Income
2020-10-04,Health & Fitness,710.1,Expense
2020-10-07,Travel,510.29,Expense
2020-10-07,Investment,3084.0,Income
2020-10-07,Investment,2069.0,Income
2020-10-08,Salary,1680.69,Income
2020-10-08,Travel,1961.22,Expense
2020-10-10,Travel,462.69,Expense
2020-10-10,Investment,4875.0,Income
2020-10-10,Investment,946.0,Income
2020-10-12,Utilities,1279.36,Expense
2020-10-14,Rent,1746.71,Expense
2020-10-15,Salary,2887.92,Income
2020-10-16,Food & Drink,512.43,Expense
2020-10-16,Rent,1646.01,Expense
2020-10-16,Rent,1158.27,Expense
2020-10-18,Utilities,306.9,Expense
2020-10-19,Travel,179.51,Expense
2020-10-23,Shopping,1216.57,Expense
2020-10-24,Entertainment,1553.63,Expense
2020-10-26,Salary,1805.19,Income
2020-10-27,Shopping,617.71,Expense
2020-10-27,Rent,1895.7,Expense
2020-10-27,Entertainment,536.65,Expense
2020-10-28,Investment,1923.0,Income
2020-10-29,Utilities,15.32,Expense
2020-10-30,Salary,1768.83,Income
2020-10-31,Travel,1408.95,Expense
2020-11-01,Entertainment,1848.58,Expense
2020-11-01,Entertainment,856.03,Expense
2020-11-02,Utilities,1817.74,Expense
2020-11-04,Rent,128.68,Expense
2020-11-06,Travel,883.92,Expense
2020-11-07,Travel,1402.47,Expense
2020-11-09,Salary,2643.42,Income
2020-11-10,Shopping,1471.72,Expense
2020-11-10,Food & Drink,191.74,Expense
2020-11-12,Food & Drink,1999.15,Expense
2020-11-12,Travel,1156.73,Expense
2020-11-14,Utilities,946.3,Expense
2020-11-14,Travel,371.16,Expense
2020-11-14,Salary,5815.26,Income
2020-11-14,Shopping,673.28,Expense
2020-11-15,Utilities,666.31,Expense
2020-11-15,Travel,1328.54,Expense
2020-11-16,Food & Drink,915.1,Expense
2020-11-16,Health & Fitness,240.68,Expense
2020-11-17,Food & Drink,1318.74,Expense
2020-11-20,Shopping,117.87,Expense
2020-11-22,Salary,3763.68,Income
2020-11-23,Entertainment,541.44,Expense
2020-11-25,Other,4089.0,Income
2020-11-25,Salary,754.92,Income
2020-11-26,Entertainment,1422.47,Expense
2020-11-27,Food & Drink,1108.98,Expense
2020-11-27,Investment,4280.0,Income
2020-11-29,Utilities,1001.77,Expense
2020-12-01,Travel,836.83,Expense
2020-12-05,Salary,1485.06,Income
2020-12-05,Shopping,389.31,Expense
2020-12-06,Utilities,1729.41,Expense
2020-12-10,Shopping,686.35,Expense
2020-12-10,Travel,1642.89,Expense
2020-12-11,Travel,1676.58,Expense
2020-12-12,Salary,5195.61,Income
2020-12-13,Salary,2090.3999999999996,Income
2020-12-14,Shopping,916.14,Expense
2020-12-14,Entertainment,1961.74,Expense
2020-12-16,Shopping,474.79,Expense
2020-12-16,Food & Drink,643.17,Expense
2020-12-16,Shopping,778.3,Expense
2020-12-18,Utilities,995.7,Expense
2020-12-18,Other,1322.0,Income
2020-12-20,Salary,625.29,Income
2020-12-20,Food & Drink,1447.66,Expense
2020-12-22,Utilities,158.91,Expense
2020-12-23,Travel,683.74,Expense
2020-12-23,Rent,1705.01,Expense
2020-12-24,Shopping,1908.74,Expense
2020-12-25,Salary,5238.12,Income
2020-12-26,Investment,2423.0,Income
2020-12-28,Travel,1994.88,Expense
2020-12-30,Shopping,1956.89,Expense
2020-12-31,Rent,892.92,Expense
2021-01-01,Food & Drink,101.52,Expense
2021-01-06,Travel,723.34,Expense
2021-01-06,Entertainment,1067.02,Expense
2021-01-08,Utilities,348.27,Expense
2021-01-10,Other,2472.0,Income
2021-01-10,Utilities,472.06,Expense
2021-01-11,Salary,1554.3000000000002,Income
2021-01-12,Other,2856.0,Income
2021-01-13,Utilities,156.99,Expense
2021-01-13,Travel,1281.49,Expense
2021-01-14,Travel,919.1,Expense
2021-01-14,Shopping,1708.14,Expense
2021-01-15,Other,3440.0,Income
2021-01-15,Travel,53.66,Expense
2021-01-17,Shopping,556.22,Expense
2021-01-17,Food & Drink,1822.13,Expense
2021-01-19,Travel,1553.72,Expense
2021-01-20,Health & Fitness,445.82,Expense
2021-01-24,Other,1620.0,Income
2021-01-26,Food & Drink,624.78,Expense
2021-01-27,Health & Fitness,1467.4,Expense
2021-01-27,Other,3176.0,Income
2021-01-27,Utilities,409.58,Expense
2021-01-27,Health & Fitness,1066.4,Expense
2021-01-29,Utilities,521.37,Expense
2021-02-02,Salary,5805.2699999999995,Income
2021-02-05,Health & Fitness,1610.42,Expense
2021-02-05,Rent,290.11,Expense
2021-02-08,Shopping,1934.87,Expense
2021-02-08,Health & Fitness,189.7,Expense
2021-02-09,Travel,1077.78,Expense
2021-02-09,Travel,1173.27,Expense
2021-02-11,Health & Fitness,225.61,Expense
2021-02-11,Food & Drink,1242.9,Expense
2021-02-13,Health & Fitness,1831.36,Expense
2021-02-16,Rent,1274.45,Expense
2021-02-18,Travel,1301.99,Expense
2021-02-19,Investment,804.0,Income
2021-02-20,Salary,723.24,Income
2021-02-21,Utilities,783.41,Expense
2021-02-23,Shopping,1178.81,Expense
2021-02-24,Shopping,1313.29,Expense
2021-02-27,Shopping,1878.72,Expense
2021-02-28,Health & Fitness,442.37,Expense
2021-03-02,Entertainment,1712.35,Expense
2021-03-02,Other,4960.0,Income
2021-03-02,Health & Fitness,130.49,Expense
2021-03-04,Rent,1898.53,Expense
2021-03-05,Rent,1328.91,Expense
2021-03-05,Food & Drink,110.65,Expense
2021-03-07,Utilities,1576.09,Expense
2021-03-07,Entertainment,1176.9,Expense
2021-03-08,Entertainment,663.83,Expense
2021-03-09,Investment,2771.0,Income
2021-03-09,Utilities,1975.18,Expense
2021-03-10,Utilities,228.75,Expense
2021-03-12,Utilities,39.57,Expense
2021-03-15,Entertainment,1181.82,Expense
2021-03-15,Other,929.0,Income
2021-03-16,Other,4809.0,Income
2021-03-16,Investment,4401.0,Income
2021-03-17,Health & Fitness,1031.34,Expense
2021-03-17,Investment,855.0,Income
2021-03-18,Travel,921.5,Expense
2021-03-19,Food & Drink,1997.19,Expense
2021-03-20,Shopping,1375.33,Expense
2021-03-21,Salary,468.75,Income
2021-03-22,Investment,1038.0,Income
2021-03-22,Other,3620.0,Income
2021-03-22,Travel,912.89,Expense
2021-03-23,Rent,1588.26,Expense
2021-03-23,Investment,4023.0,Income
2021-03-24,Entertainment,833.49,Expense
2021-03-25,Shopping,837.82,Expense
2021-03-26,Other,3060.0,Income
2021-03-27,Health & Fitness,1907.65,Expense
2021-03-28,Salary,430.7999999999999,Income
2021-03-29,Rent,869.43,Expense
2021-03-30,Health & Fitness,1625.42,Expense
2021-04-01,Health & Fitness,1343.33,Expense
2021-04-02,Shopping,1737.5,Expense
2021-04-03,Travel,1204.82,Expense
2021-04-03,Entertainment,317.91,Expense
2021-04-03,Rent,706.73,Expense
2021-04-08,Rent,1527.59,Expense
2021-04-08,Shopping,1691.86,Expense
2021-04-09,Food & Drink,1221.9,Expense
2021-04-11,Travel,67.62,Expense
2021-04-11,Travel,1843.86,Expense
2021-04-12,Utilities,1741.03,Expense
2021-04-13,Shopping,148.47,Expense
2021-04-18,Food & Drink,192.6,Expense
2021-04-19,Shopping,845.47,Expense
2021-04-19,Health & Fitness,630.16,Expense
2021-04-19,Rent,1767.85,Expense
2021-04-19,Investment,1168.0,Income
2021-04-21,Shopping,976.47,Expense
2021-04-23,Travel,438.98,Expense
2021-04-23,Health & Fitness,865.53,Expense
2021-04-24,Salary,3175.7999999999997,Income
2021-04-27,Entertainment,796.57,Expense
2021-04-27,Food & Drink,416.8,Expense
2021-04-27,Utilities,1530.68,Expense
2021-04-30,Rent,25.38,Expense
2021-05-02,Utilities,267.08,Expense
2021-05-04,Entertainment,1005.52,Expense
2021-05-04,Health & Fitness,153.43,Expense
2021-05-06,Food & Drink,878.08,Expense
2021-05-07,Rent,1725.6,Expense
2021-05-07,Shopping,1421.9,Expense
2021-05-07,Rent,816.01,Expense
2021-05-10,Utilities,1604.63,Expense
2021-05-11,Health & Fitness,185.38,Expense
2021-05-11,Entertainment,877.0,Expense
2021-05-12,Rent,797.58,Expense
2021-05-14,Health & Fitness,450.93,Expense
2021-05-14,Rent,1025.86,Expense
2021-05-15,Investment,3362.0,Income
2021-05-17,Utilities,480.18,Expense
2021-05-19,Investment,1921.0,Income
2021-05-22,Rent,362.52,Expense
2021-05-23,Salary,2799.81,Income
2021-05-24,Salary,4096.38,Income
2021-05-24,Health & Fitness,1729.85,Expense
2021-05-24,Utilities,885.13,Expense
2021-05-25,Travel,1594.7,Expense
2021-05-25,Health & Fitness,1019.6,Expense
2021-05-27,Salary,254.52,Income
2021-05-27,Travel,162.69,Expense
2021-05-29,Rent,1233.87,Expense
2021-05-30,Salary,3494.58,Income
2021-05-31,Food & Drink,904.97,Expense
2021-05-31,Entertainment,649.84,Expense
2021-06-02,Utilities,1915.87,Expense
2021-06-02,Health & Fitness,1964.95,Expense
2021-06-03,Investment,820.0,Income
2021-06-06,Salary,5946.18,Income
2021-06-06,Utilities,734.16,Expense
2021-06-06,Shopping,823.45,Expense
2021-06-09,Food & Drink,1580.56,Expense
2021-06-11,Rent,666.08,Expense
2021-06-11,Shopping,575.45,Expense
2021-06-14,Utilities,673.39,Expense
2021-06-15,Utilities,1834.33,Expense
2021-06-16,Shopping,266.61,Expense
2021-06-20,Rent,626.07,Expense
2021-06-20,Health & Fitness,1628.24,Expense
2021-06-22,Rent,1295.59,Expense
2021-06-23,Health & Fitness,46.28,Expense
2021-06-24,Entertainment,690.05,Expense
2021-06-26,Entertainment,460.82,Expense
2021-06-27,Investment,2923.0,Income
2021-06-28,Rent,1020.3,Expense
2021-06-28,Food & Drink,1327.24,Expense
2021-06-28,Utilities,1198.52,Expense
2021-06-28,Investment,1856.0,Income
2021-06-29,Food & Drink,827.61,Expense
2021-07-04,Entertainment,1939.48,Expense
2021-07-04,Salary,1427.01,Income
2021-07-04,Salary,5426.7300000000005,Income
2021-07-06,Other,4282.0,Income
2021-07-07,Shopping,1010.78,Expense
2021-07-09,Utilities,1635.61,Expense
2021-07-09,Utilities,1747.27,Expense
2021-07-10,Other,3540.0,Income
2021-07-10,Rent,1425.69,Expense
2021-07-11,Rent,577.28,Expense
2021-07-11,Travel,904.15,Expense
2021-07-11,Shopping,192.51,Expense
2021-07-12,Salary,5311.2300000000005,Income
2021-07-13,Shopping,115.98,Expense
2021-07-14,Entertainment,778.47,Expense
2021-07-15,Investment,730.0,Income
2021-07-19,Rent,1679.96,Expense
2021-07-19,Utilities,283.82,Expense
2021-07-23,Salary,4185.54,Income
2021-07-23,Other,4174.0,Income
2021-07-24,Rent,47.82,Expense
2021-07-28,Utilities,1102.12,Expense
2021-07-29,Shopping,231.26,Expense
2021-08-02,Travel,252.48,Expense
2021-08-06,Salary,404.97,Income
2021-08-07,Salary,3592.5299999999997,Income
2021-08-07,Investment,1676.0,Income
2021-08-08,Food & Drink,1233.47,Expense
2021-08-09,Shopping,382.75,Expense
2021-08-11,Health & Fitness,144.68,Expense
2021-08-13,Food & Drink,787.0,Expense
2021-08-13,Shopping,1962.27,Expense
2021-08-15,Food & Drink,720.62,Expense
2021-08-16,Investment,1349.0,Income
2021-08-18,Health & Fitness,275.49,Expense
2021-08-20,Health & Fitness,1628.88,Expense
2021-08-21,Other,4420.0,Income
2021-08-21,Utilities,135.57,Expense
2021-08-22,Salary,250.8,Income
2021-08-23,Entertainment,1772.72,Expense
2021-08-24,Travel,1035.61,Expense
2021-08-25,Salary,1542.27,Income
2021-08-27,Entertainment,579.36,Expense
2021-08-29,Food & Drink,1732.94,Expense
2021-09-05,Rent,1600.69,Expense
2021-09-06,Shopping,1489.18,Expense
2021-09-09,Shopping,684.68,Expense
2021-09-09,Other,3509.0,Income
2021-09-09,Travel,1604.28,Expense
2021-09-10,Rent,866.91,Expense
2021-09-11,Utilities,1095.49,Expense
2021-09-11,Rent,662.56,Expense
2021-09-11,Salary,3627.66,Income
2021-09-11,Salary,2128.74,Income
2021-09-15,Other,4063.0,Income
2021-09-16,Food & Drink,159.33,Expense
2021-09-16,Health & Fitness,1031.04,Expense
2021-09-17,Utilities,1906.05,Expense
2021-09-17,Other,785.0,Income
2021-09-19,Investment,3500.0,Income
2021-09-19,Food & Drink,1214.14,Expense
2021-09-19,Health & Fitness,750.31,Expense
2021-09-19,Utilities,1063.63,Expense
2021-09-20,Travel,506.73,Expense
2021-09-21,Investment,4588.0,Income
2021-09-28,Rent,530.94,Expense
2021-10-01,Salary,1311.0,Income
2021-10-07,Salary,1225.0500000000002,Income
2021-10-08,Investment,4203.0,Income
2021-10-13,Other,1219.0,Income
2021-10-13,Health & Fitness,1339.0,Expense
2021-10-13,Travel,1783.75,Expense
2021-10-16,Utilities,1589.46,Expense
2021-10-20,Rent,1970.41,Expense
2021-10-21,Entertainment,1582.84,Expense
2021-10-22,Other,4328.0,Income
2021-10-24,Utilities,1227.78,Expense
2021-10-24,Other,3761.0,Income
2021-10-27,Salary,3168.3900000000003,Income
2021-10-27,Rent,259.4,Expense
2021-10-30,Rent,905.45,Expense
2021-11-03,Health & Fitness,265.39,Expense
2021-11-04,Utilities,1537.89,Expense
2021-11-05,Investment,1517.0,Income
2021-11-05,Travel,337.67,Expense
2021-11-06,Entertainment,698.59,Expense
2021-11-07,Travel,1693.41,Expense
2021-11-10,Travel,259.09,Expense
2021-11-15,Rent,1010.12,Expense
2021-11-16,Investment,1902.0,Income
2021-11-17,Health & Fitness,1686.63,Expense
2021-11-18,Food & Drink,171.63,Expense
2021-11-18,Travel,1305.75,Expense
2021-11-19,Shopping,1240.04,Expense
2021-11-21,Other,2974.0,Income
2021-11-21,Shopping,601.89,Expense
2021-11-21,Investment,1794.0,Income
2021-11-23,Salary,2802.7200000000003,Income
2021-11-26,Utilities,632.04,Expense
2021-11-27,Health & Fitness,1950.99,Expense
2021-11-28,Other,4718.0,Income
2021-12-01,Health & Fitness,491.06,Expense
2021-12-02,Other,2530.0,Income
2021-12-03,Investment,2877.0,Income
2021-12-03,Shopping,504.06,Expense
2021-12-08,Utilities,1628.82,Expense
2021-12-09,Health & Fitness,387.77,Expense
2021-12-09,Other,4585.0,Income
2021-12-11,Salary,168.36,Income
2021-12-12,Salary,5801.13,Income
2021-12-13,Health & Fitness,106.83,Expense
2021-12-13,Salary,1735.92,Income
2021-12-15,Investment,4030.0,Income
2021-12-15,Other,3496.0,Income
2021-12-16,Health & Fitness,100.03,Expense
2021-12-19,Investment,3469.0,Income
2021-12-20,Rent,778.83,Expense
2021-12-20,Travel,1652.37,Expense
2021-12-23,Rent,266.04,Expense
2021-12-24,Other,3277.0,Income
2021-12-26,Health & Fitness,1512.38,Expense
2021-12-28,Other,4596.0,Income
2021-12-31,Investment,1622.0,Income
2022-01-01,Salary,3130.41,Income
2022-01-03,Investment,3186.0,Income
2022-01-03,Health & Fitness,333.38,Expense
2022-01-03,Travel,1191.51,Expense
2022-01-04,Salary,4261.17,Income
2022-01-05,Food & Drink,743.03,Expense
2022-01-06,Shopping,1171.57,Expense
2022-01-08,Food & Drink,1197.85,Expense
2022-01-09,Entertainment,1445.59,Expense
2022-01-13,Utilities,1053.22,Expense
2022-01-13,Shopping,304.07,Expense
2022-01-14,Food & Drink,1149.41,Expense
2022-01-16,Entertainment,47.69,Expense
2022-01-16,Utilities,831.79,Expense
2022-01-18,Salary,5240.7300000000005,Income
2022-01-18,Food & Drink,1414.49,Expense
2022-01-21,Health & Fitness,1996.26,Expense
2022-01-21,Shopping,634.37,Expense
2022-01-22,Other,4975.0,Income
2022-01-23,Travel,1224.05,Expense
2022-01-24,Investment,2785.0,Income
2022-01-28,Entertainment,1883.56,Expense
2022-02-01,Travel,1412.75,Expense
2022-02-02,Salary,1922.73,Income
2022-02-05,Travel,582.7,Expense
2022-02-05,Shopping,1792.56,Expense
2022-02-06,Health & Fitness,1909.67,Expense
2022-02-08,Travel,93.71,Expense
2022-02-08,Rent,699.26,Expense
2022-02-09,Travel,1497.2,Expense
2022-02-10,Travel,1866.72,Expense
2022-02-10,Utilities,227.36,Expense
2022-02-10,Entertainment,492.49,Expense
2022-02-10,Entertainment,1279.51,Expense
2022-02-11,Other,3205.0,Income
2022-02-14,Rent,1365.57,Expense
2022-02-17,Investment,3833.0,Income
2022-02-17,Salary,2880.36,Income
2022-02-17,Other,3131.0,Income
2022-02-17,Food & Drink,1816.79,Expense
2022-02-18,Investment,4883.0,Income
2022-02-21,Food & Drink,1827.33,Expense
2022-02-22,Investment,797.0,Income
2022-02-22,Shopping,1578.04,Expense
2022-02-25,Other,806.0,Income
2022-02-27,Investment,3244.0,Income
2022-03-01,Salary,5338.89,Income
2022-03-02,Other,2735.0,Income
2022-03-04,Investment,3208.0,Income
2022-03-05,Other,2607.0,Income
2022-03-07,Food & Drink,1475.87,Expense
2022-03-07,Entertainment,359.23,Expense
2022-03-12,Shopping,1655.71,Expense
2022-03-14,Rent,807.66,Expense
2022-03-17,Investment,4411.0,Income
2022-03-17,Entertainment,23.59,Expense
2022-03-18,Salary,4529.9400000000005,Income
2022-03-18,Travel,1169.1,Expense
2022-03-18,Travel,1310.83,Expense
2022-03-20,Food & Drink,1338.89,Expense
2022-03-20,Utilities,816.78,Expense
2022-03-22,Travel,1383.68,Expense
2022-03-23,Travel,741.41,Expense
2022-03-23,Utilities,961.58,Expense
2022-03-24,Health & Fitness,837.53,Expense
2022-03-25,Salary,4551.39,Income
2022-03-26,Entertainment,1526.1,Expense
2022-03-27,Rent,1055.76,Expense
2022-03-28,Health & Fitness,165.42,Expense
2022-03-28,Food & Drink,1659.26,Expense
2022-03-28,Entertainment,1149.68,Expense
2022-03-28,Other,4762.0,Income
2022-03-29,Entertainment,1436.67,Expense
2022-03-29,Salary,4857.9,Income
2022-03-31,Shopping,919.03,Expense
2022-03-31,Other,3024.0,Income
2022-03-31,Shopping,516.37,Expense
2022-04-01,Investment,1098.0,Income
2022-04-01,Other,1022.0,Income
2022-04-01,Food & Drink,1869.82,Expense
2022-04-01,Other,759.0,Income
2022-04-02,Utilities,1540.25,Expense
2022-04-02,Shopping,755.18,Expense
2022-04-03,Salary,5221.62,Income
2022-04-03,Shopping,169.7,Expense
2022-04-04,Utilities,1310.53,Expense
2022-04-05,Utilities,1985.77,Expense
2022-04-08,Utilities,1458.44,Expense
2022-04-09,Food & Drink,1514.8,Expense
2022-04-09,Salary,4050.78,Income
2022-04-10,Shopping,1648.49,Expense
2022-04-10,Health & Fitness,318.69,Expense
2022-04-16,Investment,763.0,Income
2022-04-18,Shopping,1233.7,Expense
2022-04-18,Food & Drink,488.93,Expense
2022-04-21,Investment,4157.0,Income
2022-04-22,Food & Drink,497.02,Expense
2022-04-22,Other,2419.0,Income
2022-04-24,Food & Drink,288.87,Expense
2022-04-24,Entertainment,1633.41,Expense
2022-04-29,Health & Fitness,1159.17,Expense
2022-04-30,Health & Fitness,481.44,Expense
2022-05-02,Entertainment,832.98,Expense
2022-05-02,Utilities,1255.73,Expense
2022-05-03,Salary,309.9,Income
2022-05-05,Shopping,1573.75,Expense
2022-05-05,Shopping,822.44,Expense
2022-05-06,Utilities,1511.29,Expense
2022-05-07,Entertainment,608.47,Expense
2022-05-07,Salary,5490.99,Income
2022-05-07,Shopping,1119.0,Expense
2022-05-08,Investment,2588.0,Income
2022-05-08,Rent,1845.23,Expense
