Amount,Category,Type,Date
50.0,Other,,
100.0,Other,,
250.0,Other,Expense,2021-12-30
440.0,Other,Income,2022-01-06
100.0,Other,,
200.0,Other,,
260.0,Other,Income,2022-01-08
58.0,Transportation,,
33.42822009461837,Transportation,,
50.0,Transportation,,
43.0,Transportation,,
43.497320976771135,Transportation,,
50.0,Transportation,Expense,2021-11-24
131.11415533394924,Transportation,,
128.35302495589238,Transportation,,
43.0,Transportation,,
43.0,Transportation,,
60.0,Transportation,Expense,2022-01-05
755.2642792451111,Transportation,,
325.0,Transportation,Expense,2022-01-25
136.0988996480608,Transportation,,
306.0,Transportation,Expense,2021-12-25
130.0,Transportation,Expense,2021-11-23
136.84084102327023,Transportation,,
61.141805921749615,Transportation,,
906.4956126593993,Transportation,,
50.0,Transportation,,
43.0,Transportation,,
42.0,Transportation,Expense,2022-01-06
153.0,Transportation,Expense,2022-01-31
214.0,Transportation,Expense,2022-02-07
199.71906549031263,Transportation,,
60.0,Transportation,,
1323.6333232678542,Transportation,,
50.0,Transportation,,
43.0,Transportation,,
43.58258899685122,Transportation,,
280.26454834329166,Transportation,,
818.7932465388211,Transportation,,
50.0,Transportation,,
324.68483125037073,Transportation,,
43.0,Transportation,,
135.05844664474864,Transportation,,
58.0,Transportation,,
50.0,Transportation,,
199.729007168041,Transportation,,
35.0,Transportation,Expense,2021-11-27
50.0,Transportation,,
43.0,Transportation,,
50.0,Transportation,,
60.0,Transportation,,
320.6528348556592,Transportation,,
199.0,Transportation,Expense,2021-12-30
137.67379886756189,Transportation,,
1335.0572457245173,Transportation,,
50.0,Transportation,Expense,2022-01-31
879.3512293316114,Transportation,,
306.59715452804795,Transportation,,
204.70824069298965,Transportation,,
58.0,Transportation,Expense,2021-11-26
60.0,Transportation,,
43.0,Transportation,,
42.70685734384762,Transportation,,
201.8,Transportation,Expense,2022-02-21
60.0,Transportation,,
322.9586209713096,Transportation,,
1524.168392982585,Transportation,,
58.0,Transportation,,
1365.0,Transportation,Expense,2022-01-15
322.8440030964288,Transportation,,
1000.0,Transportation,Expense,2022-02-06
58.0,Transportation,,
139.12959572582156,Transportation,,
30.0,Transportation,Expense,2022-03-01
60.0,Transportation,,
43.0,Transportation,,
979.6377207731251,Transportation,,
42.633403756510425,Transportation,,
58.0,Transportation,Expense,2021-11-24
63.69077143090332,Transportation,,
58.0,Transportation,,
80.0,Transportation,Expense,2021-12-20
286.0,Transportation,Income,2021-12-30
50.0,Transportation,,
199.9944778828764,Transportation,,
60.0,Transportation,,
313.3479715797102,Transportation,,
43.0,Transportation,,
199.174366429005,Transportation,,
131.09517259299525,Transportation,,
43.0,Transportation,,
33.85483589977281,Transportation,,
58.0,Transportation,,
58.0,Transportation,,
58.0,Transportation,,
50.0,Transportation,,
50.0,Transportation,,
68.89598376801075,Transportation,,
306.13209048009264,Transportation,,
127.29606178338064,Transportation,,
1575.0,Transportation,Expense,2022-02-19
199.74821770417464,Transportation,,
43.0,Transportation,,
280.7056316023576,Transportation,,
979.4985729880631,Transportation,,
50.0,Transportation,,
50.0,Transportation,,
43.0,Transportation,,
756.8639913694107,Transportation,,
60.0,Transportation,Expense,2022-02-19
787.9006546613649,Transportation,,
32.45714654417649,Transportation,,
1339.6216817086934,Transportation,,
273.6469626006711,Transportation,,
199.80367207689912,Transportation,,
60.0,Transportation,,
43.35482720959055,Transportation,,
199.68199652502813,Transportation,,
270.0,Transportation,Expense,2022-02-19
44.0,Transportation,Expense,2022-01-29
58.0,Transportation,,
210.08648320734483,Transportation,,
138.0,Transportation,Expense,2022-02-21
43.0,Transportation,Expense,2022-01-13
779.6468124218974,Transportation,,
210.95863480438373,Transportation,,
43.409107056811756,Transportation,,
200.0,Transportation,Expense,2022-02-19
135.42051489473826,Transportation,,
275.40184274245803,Transportation,,
1300.0,Transportation,Expense,2022-02-21
124.89452760277563,Transportation,,
69.54534341236013,Transportation,,
1361.6538811687508,Transportation,,
275.7990804583166,Transportation,,
58.0,Transportation,,
39.18030719054906,Apparel,,
399.0,Apparel,,
436.13711111004847,Apparel,,
46.626079866265044,Apparel,,
399.0,Apparel,,
399.0,Apparel,,
132.26495775197938,Apparel,,
133.08104802307307,Apparel,,
134.8790694170072,Apparel,,
399.0,Apparel,,
497.4326681988464,Apparel,,
135.90892943188243,Apparel,,
399.0,Apparel,,
86.7071965625549,Apparel,,
1138.8581014858864,Apparel,,
139.23020090171207,Apparel,,
131.12913575734882,Apparel,,
399.0,Apparel,,
75.29008024157113,Apparel,,
103.77815768615893,Apparel,,
399.0,Apparel,,
456.8183571457865,Apparel,,
872.7817766101065,Apparel,,
646.6234346507756,Apparel,,
1423.3231112121016,Apparel,,
138.7733935338098,Apparel,,
399.0,Apparel,,
399.0,Apparel,,
457.8414886819733,Apparel,,
399.0,Apparel,,
137.72064837458058,Apparel,,
127.03116102276901,Apparel,,
467.35650386590373,Apparel,,
424.6043680830796,Apparel,,
399.0,Apparel,,
399.0,Apparel,,
399.0,Apparel,,
139.63113052645468,Apparel,,
118.57004299158426,Apparel,,
137.50707770851125,Apparel,,
477.3487997444835,Apparel,,
137.623624560076,Apparel,,
399.0,Apparel,,
667.101232755967,Apparel,,
130.143495458894,Apparel,,
435.7225484623582,Apparel,,
428.0698986438989,Apparel,,
399.0,Apparel,,
487.9209811602315,Apparel,,
536.6832924627511,Apparel,,
136.09564333979898,Apparel,,
631.8795549147969,Apparel,,
134.1038292303563,Apparel,,
399.0,Apparel,,
399.0,Apparel,,
418.4485443284297,Apparel,,
1800.0,Apparel,Expense,2021-12-05
399.0,Apparel,,
139.0971022994559,Apparel,,
1690.6180455064366,Apparel,,
326.797245364458,Household,,
4646.921182506006,Household,,
311.7378680650545,Household,,
4778.841158759888,Household,,
335.8170962661571,Household,,
325.942218480785,Household,,
4774.179995501655,Household,,
4722.982750307171,Household,,
4677.175440206439,Household,,
249.07308533337,Household,,
4671.632188531481,Household,,
4742.61758153731,Household,,
4645.0394108842975,Household,,
977.1455941382665,Household,,
306.0746614289901,Household,,
4763.775712308553,Household,,
4660.623132608229,Household,,
533.8613158844278,Household,,
1560.0561549966983,Household,,
322.88012330411175,Household,,
308.0601823061359,Household,,
4751.943103812297,Household,,
231.88488939825118,Household,,
4624.673469441649,Household,,
4697.499672262597,Household,,
328.91624148676016,Household,,
188.41031498058743,Household,,
1309.5582808576396,Household,,
314.3873511848805,Household,,
4734.078722594009,Household,,
1837.922742492156,Household,,
325.08523994587307,Household,,
4678.363520404308,Household,,
4674.15907617398,Household,,
1142.5015735317124,Household,,
4584.643571179498,Household,,
322.4657379694979,Household,,
691.5175446522364,Household,,
4745.687266175508,Household,,
4722.4918265191,Household,,
225.8593059015022,Household,,
1186.2043690200526,Household,,
1333.1627336051142,Household,,
109.21181282629283,Household,,
4723.29348279582,Household,,
4773.1406499658515,Household,,
331.5175296473728,Household,,
328.4578492806891,Household,,
316.2374396058783,Household,,
328.008722036845,Household,,
4613.157859672395,Household,,
319.7908645356791,Household,,
303.0171724408454,Household,,
111.66569124856962,Household,,
319.29849260105334,Household,,
4744.138608934444,Household,,
4580.0,Household,Expense,2022-01-08
1244.2447604941126,Household,,
313.0391148216123,Household,,
313.1660061311288,Household,,
659.6306075142261,Household,,
1913.013619919233,Household,,
1124.4753634690312,Household,,
4787.427785522756,Household,,
312.36939216633635,Household,,
4705.904343217584,Household,,
303.0,Household,Expense,2022-02-24
1560.6435142128344,Household,,
1395.872507970253,Household,,
843.2669499632086,Household,,
4728.651825748641,Household,,
1477.42110628286,Household,,
4785.723705636024,Household,,
4727.177416037131,Household,,
1619.230844334888,Household,,
4721.614475623065,Household,,
335.13090661292546,Household,,
1387.036830424674,Household,,
1144.4272221420015,Household,,
275.85410718803837,Household,,
305.4864264482022,Household,,
1400.3134071540433,Social Life,,
140.8611100100608,Social Life,,
111.00622270711881,Social Life,,
260.0686294152206,Social Life,,
174.86814534474038,Social Life,,
885.4513717893435,Social Life,,
165.40524011536533,Social Life,,
107.349527226632,Social Life,,
122.5633105316707,Social Life,,
153.19226129196096,Social Life,,
124.0604689128317,Social Life,,
813.3758559762872,Social Life,,
144.00673163331587,Social Life,,
145.74321951102243,Social Life,,
137.4108852087318,Social Life,,
174.86604883855694,Social Life,,
1324.8095075175333,Social Life,,
257.36210176799,Social Life,,
185.32040778677532,Social Life,,
117.46047873063304,Social Life,,
188.13754562516,Social Life,,
116.16014660103777,Social Life,,
174.4626348711217,Social Life,,
229.79462252316944,Social Life,,
197.42606243750052,Social Life,,
940.580579534876,Social Life,,
132.99920230170895,Social Life,,
124.39534708503595,Social Life,,
102.0387570777382,Social Life,,
164.3910389326232,Social Life,,
118.32351446195527,Social Life,,
106.13134640360224,Social Life,,
138.6752112401031,Social Life,,
272.5604973103189,Social Life,,
443.2840029008878,Social Life,,
153.58407187061374,Social Life,,
361.18944274189386,Social Life,,
106.13303233095095,Social Life,,
244.49641940526635,Social Life,,
314.4602031167985,Social Life,,
300.6717998732928,Social Life,,
244.86653625536442,Social Life,,
205.95613735094753,Social Life,,
125.52736198612185,Social Life,,
496.78935857378474,Social Life,,
204.61983741692433,Social Life,,
157.44316642415714,Social Life,,
499.28000895503465,Social Life,,
199.65239347344047,Social Life,,
1183.2132914455178,Social Life,,
321.48979671047476,Social Life,,
147.69642885012937,Social Life,,
135.75797528112662,Social Life,,
163.87739423692474,Social Life,,
331.7548180377042,Social Life,,
188.11812280038,Social Life,,
363.72,Social Life,Income,2021-12-18
113.93232321183058,Social Life,,
337.2581469284299,Social Life,,
191.14446602964756,Social Life,,
146.23468091392814,Social Life,,
183.1192414298186,Social Life,,
112.96156911228978,Social Life,,
143.03652916281717,Social Life,,
299.362040517558,Social Life,,
115.1492129502366,Social Life,,
1700.0,Social Life,Expense,2022-02-26
155.39767224114433,Social Life,,
105.67367606202946,Social Life,,
131.61529152967898,Social Life,,
514.604152983009,Social Life,,
1650.7087099890848,Social Life,,
239.02763657838238,Social Life,,
145.31626160859537,Social Life,,
124.86242529461927,Social Life,,
413.90092871475554,Social Life,,
399.78545589540204,Social Life,,
166.3932226297061,Social Life,,
145.79300175024756,Social Life,,
201.62838366093,Social Life,,
132.02544243901224,Social Life,,
104.85882468853842,Social Life,,
145.4855114972796,Social Life,,
118.44306870013685,Social Life,,
103.16350056316327,Social Life,,
145.34486160970505,Social Life,,
104.58670570166731,Social Life,,
130.75036133495848,Social Life,,
1512.8085321197377,Social Life,,
106.87604720729966,Social Life,,
109.49433026604096,Social Life,,
167.40193702486997,Social Life,,
133.8782180921141,Social Life,,
134.0998262514068,Social Life,,
112.19948216895418,Social Life,,
131.4920649872278,Social Life,,
116.0390032485868,Social Life,,
192.75525639543883,Social Life,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,Expense,2022-01-04
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
1400.0,Education,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,Expense,2021-12-25
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
400.0,Self-development,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,Expense,2021-12-02
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
196.0,Beauty,,
1000.0,Salary,Expense,2022-01-01
1000.0,Salary,Expense,2021-12-18
1000.0,Salary,Expense,2021-12-12
8000.0,Salary,Expense,2021-12-05
1000.0,Salary,Expense,2021-12-03
2000.0,Salary,Expense,2021-11-27
7164.011273564746,Salary,Expense,2021-11-21
1000.0,Salary,Expense,2021-11-21
1000.0,Salary,Income,2021-11-21
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
7367.034441018376,Salary,,
1000.0,Salary,,
1781.5595627831665,Salary,,
1000.0,Salary,,
1000.0,Salary,,
6053.929873968356,Salary,,
1877.9120452993266,Salary,,
1643.702161923025,Salary,,
1000.0,Salary,,
6367.206503692189,Salary,,
1000.0,Salary,,
1000.0,Salary,,
5884.586861994986,Salary,,
1000.0,Salary,,
1835.3441468570581,Salary,,
1000.0,Salary,,
5091.020171846101,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
4651.387987895952,Salary,,
5576.982973651755,Salary,,
1935.1077528910184,Salary,,
1746.0845860656552,Salary,,
1753.1239371613988,Salary,,
1000.0,Salary,,
3726.376460453348,Salary,,
7111.478420279601,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
3915.767290671399,Salary,,
1000.0,Salary,,
5313.30101256145,Salary,,
1447.106910928672,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
2099.4611546309425,Salary,,
5607.053345332682,Salary,,
3101.4087606836965,Salary,,
3209.929250092693,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1304.187193209118,Salary,,
1000.0,Salary,,
6044.246568788692,Salary,,
1000.0,Salary,,
3733.102805371893,Salary,,
1000.0,Salary,,
1651.3340127082706,Salary,,
1903.8234489085792,Salary,,
1059.4767355103959,Salary,,
1000.0,Salary,,
4893.491896835119,Salary,,
1162.289894092672,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
4751.312157034605,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1825.0450729040638,Salary,,
2106.989940023386,Salary,,
1483.3641087289857,Salary,,
1739.170825169591,Salary,,
2022.4778014524536,Salary,,
1000.0,Salary,,
1441.7065463929025,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
5572.95123726686,Salary,,
2673.3794074342413,Salary,,
2894.429307394924,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
6167.816837933639,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
4744.758616670604,Salary,,
1000.0,Salary,,
4182.004290884628,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1021.1071417249909,Salary,,
1000.0,Salary,,
1000.0,Salary,,
5393.633806937429,Salary,,
1649.9215923053243,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1427.995800790817,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1720.4396582032414,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
4683.4101989870605,Salary,,
1000.0,Salary,,
1000.0,Salary,,
1000.0,Salary,,
6165.817884276908,Salary,,
1000.0,Salary,,
6389.150858659059,Salary,,
1514.7201257236843,Salary,,
